"名称","城市","纬度","经度","分类","介绍","官网"
"马德里 · 01 普拉多博物馆","马德里","40.4139","-3.6922","美术馆","普拉多是理解西班牙古典绘画的核心博物馆，收藏以西班牙画派为主，也有重要的佛兰德斯和意大利作品。这里适合放慢速度看人物神态、画面构图与宫廷生活，而不是只按名画清单匆匆打卡。
建议预留：2–3 小时；深度看展可留半天
看点：重点选择委拉斯开兹《宫娥》、戈雅的绘画，以及博斯《人间乐园》；具体展出以馆内安排为准。
参观提示：先选几件最感兴趣的作品，再按展厅顺路参观；建议配语音导览，并把丽池公园安排在看展之后。
景点官网：https://www.spain.info/en/places-of-interest/prado-museum/
位置来源：https://en.wikipedia.org/wiki/Museo_del_Prado
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/prado-museum/"
"马德里 · 02 马德里王宫","马德里","40.41805556","-3.71416667","经典景点","王宫建于昔日城堡所在地，是了解西班牙王室生活与礼仪空间的好去处。外观强调对称与体量，内部则通过宏大的楼梯、壁画、织物与装饰艺术，展示不同房间的仪式功能。
建议预留：1.5–2 小时
看点：留意大楼梯、柱厅和各类仪式厅的天花板与细节；外部可从东方广场欣赏完整立面。
参观提示：建议安排内部参观，再走到阿穆德纳大教堂和周边广场。王室活动可能影响开放区域，出发前核对参观安排。
景点官网：https://www.spain.info/en/places-of-interest/royal-palace-madrid/
位置来源：https://en.wikipedia.org/wiki/Royal_Palace_of_Madrid
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/royal-palace-madrid/"
"马德里 · 03 丽池公园","马德里","40.415","-3.68388889","经典景点","丽池公园是马德里市中心一大片适合步行的绿地，由昔日皇家园林逐渐成为市民休闲空间。湖泊、林荫道、花园和纪念建筑交错分布，逛完博物馆后到这里放松，比继续赶景点更能体会城市日常。
建议预留：1–2 小时
看点：大池塘、阿方索十二世纪念碑，以及水晶宫周边的园林景观，适合串成一条轻松步行线。
参观提示：清明行程可把这里当作午后散步点；水晶宫等建筑是否能入内需另查，当天只逛园林也很完整。
景点官网：https://www.spain.info/en/destination/madrid/
位置来源：https://es.wikipedia.org/wiki/Parque_del_Retiro_de_Madrid
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/madrid/"
"马德里 · 04 主广场","马德里","40.415364","-3.707391","经典景点","主广场是被连续拱廊和红色建筑围合的老城广场，过去承担市场、典礼与公共活动等功能。它的吸引力在于空间的完整性：从狭窄街道走进广场，会突然感到视野开阔，四周立面又形成统一背景。
建议预留：30–45 分钟
看点：菲利普三世骑马像、面包房大楼的壁画立面，以及连接周边街巷的拱门。
参观提示：可与太阳门广场、圣米格尔市场和王宫周边连走；广场适合停留拍照，用餐也可多比较周边小街。
景点官网：https://www.spain.info/en/destination/madrid/
位置来源：https://en.wikipedia.org/wiki/Plaza_Mayor%2C_Madrid
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/madrid/"
"马德里 · 05 塞拉尔博博物馆","马德里","40.423684","-3.714577","宅邸与收藏","这里最接近你们说的“走进一个家族的古宅，看他们积累的收藏”。原属塞拉尔博侯爵家庭的宫邸保留了大量生活与待客空间，绘画、瓷器、家具、兵器和考古藏品与房间装饰一起观看，收藏者的趣味比单件名作更有意思。
建议预留：1–1.5 小时，另留排队余量
看点：重点看接待厅、楼梯与整间房的陈设关系，再从密集摆放的绘画、装饰艺术和日常物件中挑感兴趣的细节。
参观提示：馆内容量较小，官网提示可能分批入场；8 人及以上团体需查看团体预约规则。包车团到门口不等于可以直接一起入馆。
顺路：与西班牙广场、王宫一带安排同半天；若王宫也入内，分成上午、下午。
景点官网：https://www.cultura.gob.es/mcerralbo/coleccion/colecciones.html
位置来源：https://en.wikipedia.org/wiki/Cerralbo_Museum
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.cultura.gob.es/mcerralbo/coleccion/colecciones.html"
"马德里 · 06 拉萨罗·加尔迪亚诺博物馆","马德里","40.43691111","-3.68584806","宅邸与收藏","收藏家何塞·拉萨罗与妻子葆拉·弗洛里多的旧居 Parque Florido，如今成为绘画与装饰艺术博物馆。贵宾楼层保留天花壁画、木地板和原有空间格局，能同时欣赏戈雅等人的绘画与珠宝、银器、纺织、古物，适合喜欢“一个人如何收藏”的旅行者。
建议预留：1.5–2 小时
看点：先看房间装饰与楼层主题，再选绘画、珠宝或小件工艺精品；这里比只追几幅名画更适合慢看。
参观提示：与塞拉尔博各有侧重：前者更像完整宅邸，这里收藏门类更广。时间有限可二选一；具体展品可能轮换。
顺路：安排在萨拉曼卡区散步的半天，不建议与王宫、普拉多三处硬塞同一天。
景点官网：https://www.museolazarogaldiano.es/coleccion/historia-de-la-coleccion
位置来源：https://en.wikipedia.org/wiki/L%C3%A1zaro_Galdiano_Museum
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museolazarogaldiano.es/coleccion/historia-de-la-coleccion"
"马德里 · 07 利里亚宫","马德里","40.4277","-3.7124","宅邸与收藏","阿尔瓦家族在马德里的宫邸，开放参观路线将绘画、挂毯、家具、雕塑与家族历史放在一起。相比国家王宫，这里更适合追踪一个贵族家族的收藏和生活审美；开放区域只是宫邸的一部分，不应理解为整座私宅都可随意走动。
建议预留：1–1.5 小时
看点：家族肖像、欧洲绘画、历史文献与室内装饰；当期可参观房间和作品以购票页面为准。
参观提示：优先从官方选择具体时段、语言与参观形式；若同时选塞拉尔博，另一半天以散步为主，避免连续看相似房间疲劳。
顺路：和塞拉尔博同属西班牙广场周边，特别喜欢宅邸时可组成收藏主题半天。
景点官网：https://www.palaciodeliria.com/actividades-exposiciones-madrid/visita
位置来源：https://en.wikipedia.org/wiki/Liria_Palace
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.palaciodeliria.com/actividades-exposiciones-madrid/visita"
"马德里 · 08 提森－博内米萨国家博物馆","马德里","40.41604111","-3.694925","美术馆","从家族收藏发展而来的美术馆，绘画横跨中世纪至二十世纪，可在一次参观中感受欧洲绘画如何从宗教图像走向风景、城市与现代艺术。它与普拉多的收藏重点互补，也适合喜欢印象派、色彩和风景画的人。
建议预留：2–3 小时
看点：按个人兴趣选早期大师、十九世纪风景与印象派、二十世纪绘画中的一两条线，不必逐厅打卡。
参观提示：常设收藏和临时展览可能采用不同票种；收藏目录不代表每件作品当天都在展。一天以一座大馆为宜。
顺路：与丽池公园、普拉多大道散步组合；已有普拉多预约时，另找半天。
景点官网：https://www.museothyssen.org/en/collection
位置来源：https://en.wikipedia.org/wiki/Thyssen-Bornemisza_Museum
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museothyssen.org/en/collection"
"马德里 · 09 索菲亚王后国家艺术中心","马德里","40.4086","-3.694","美术馆","适合对西班牙现代艺术、社会历史和毕加索感兴趣的人。参观可以围绕《格尔尼卡》及其相关脉络展开，再选少量感兴趣的展厅；这里与普拉多的古典绘画体验差异很大，两者不必因都是“大馆”就全部排满。
建议预留：2–3 小时
看点：《格尔尼卡》相关展陈、现代艺术与时代背景；馆藏布局和临展会调整，先看当天导览图。
参观提示：现行常规周二闭馆；2027 年具体开放与节假日例外需复核。不要把主馆和丽池公园内的分馆混为同一处预约。
顺路：可与阿托查、文学区组成半天至一天，适合放在马德里最后几天。
景点官网：https://www.museoreinasofia.es/colecciones/obra/guernica/
位置来源：https://en.wikipedia.org/wiki/Museo_Nacional_Centro_de_Arte_Reina_Sof%C3%ADa
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museoreinasofia.es/colecciones/obra/guernica/"
"马德里 · 10 索罗亚博物馆（重开后备选）","马德里","40.435","-3.693","宅邸与收藏","索罗亚的故居、画室与花园，题材非常符合你们喜欢的“房子和主人收藏一起看”。但官网目前仍公告因扩建与修复暂时闭馆，因此先列为愿望清单；不能凭旧的预计重开日期认定 2027 年清明可以参观。
建议预留：重开后建议预留 1.5–2 小时
看点：若届时确认重开，重点看画室、家庭生活空间、花园与画家作品的联系。
参观提示：截至本次核对，官方仍显示闭馆。只有确认你们出行日期开放且可购票后再加入；替代方案选塞拉尔博或拉萨罗。
顺路：暂不计入任何必去组合，也不为它单独增加住宿。
景点官网：https://www.cultura.gob.es/msorolla/visita/visita-cierre-del-museo.html
位置来源：https://en.wikipedia.org/wiki/Sorolla_Museum
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.cultura.gob.es/msorolla/visita/visita-cierre-del-museo.html"
